iter	Passed	Remaining
921	51958	4395
922	52016	4339
923	52068	4282
924	52135	4227
925	52187	4170
926	52242	4114
927	52297	4057
928	52357	4001
929	52408	3944
930	52474	3889
931	52526	3832
932	52582	3775
933	52635	3719
934	52697	3663
935	52750	3606
936	52803	3550
937	52858	3493
938	52908	3437
939	52963	3380
940	53014	3323
941	53065	3267
942	53122	3210
943	53172	3154
944	53237	3098
945	53286	3041
946	53347	2985
947	53396	2928
948	53448	2872
949	53502	2815
950	53567	2760
951	53627	2703
952	53701	2648
953	53772	2592
954	53829	2536
955	53894	2480
956	53970	2424
957	54038	2369
958	54114	2313
959	54172	2257
960	54234	2200
961	54288	2144
962	54357	2088
963	54420	2032
964	54477	1975
965	54519	1918
966	54575	1862
967	54624	1805
968	54680	1749
969	54733	1692
970	54788	1636
971	54834	1579
972	54891	1523
973	54948	1466
974	55000	1410
975	55059	1353
976	55119	1297
977	55176	1241
978	55233	1184
979	55290	1128
980	55340	1071
981	55390	1015
982	55447	958
983	55507	902
984	55566	846
985	55614	789
986	55670	733
987	55725	676
988	55779	620
989	55824	563
990	55881	507
991	55936	451
992	55996	394
993	56042	338
994	56098	281
995	56162	225
996	56217	169
997	56279	112
998	56333	56
999	56395	0
